coordinator_1  | 2024-02-27 10:25:06,044.044 WARNING:   Worker: 3 | Completed snapshot: 2 | started at: 1709029506020.6277 | ended at: 1709029506041.2344 | took: 20.606689453125ms
coordinator_1  | 2024-02-27 10:25:07,046.046 WARNING:   Worker: 2 | Completed snapshot: 3 | started at: 1709029507023.3347 | ended at: 1709029507043.98 | took: 20.645263671875ms
coordinator_1  | 2024-02-27 10:25:07,046.046 WARNING:   Worker: 4 | Completed snapshot: 3 | started at: 1709029507023.515 | ended at: 1709029507044.0889 | took: 20.573974609375ms
coordinator_1  | 2024-02-27 10:25:07,046.046 WARNING:   Worker: 1 | Completed snapshot: 3 | started at: 1709029507023.315 | ended at: 1709029507044.243 | took: 20.927978515625ms
coordinator_1  | 2024-02-27 10:25:07,046.046 WARNING:   Worker: 3 | Completed snapshot: 3 | started at: 1709029507023.7446 | ended at: 1709029507044.2205 | took: 20.475830078125ms
coordinator_1  | 2024-02-27 10:25:08,047.047 WARNING:   Worker: 4 | Completed snapshot: 4 | started at: 1709029508027.4988 | ended at: 1709029508045.6426 | took: 18.143798828125ms
coordinator_1  | 2024-02-27 10:25:08,047.047 WARNING:   Worker: 2 | Completed snapshot: 4 | started at: 1709029508027.4229 | ended at: 1709029508045.5605 | took: 18.1376953125ms
coordinator_1  | 2024-02-27 10:25:08,047.047 WARNING:   Worker: 3 | Completed snapshot: 4 | started at: 1709029508027.321 | ended at: 1709029508045.5044 | took: 18.183349609375ms
coordinator_1  | 2024-02-27 10:25:08,048.048 WARNING:   Worker: 1 | Completed snapshot: 4 | started at: 1709029508027.301 | ended at: 1709029508045.497 | took: 18.196044921875ms
coordinator_1  | 2024-02-27 10:25:09,047.047 WARNING:   Worker: 2 | Completed snapshot: 5 | started at: 1709029509027.9092 | ended at: 1709029509046.4348 | took: 18.525634765625ms
coordinator_1  | 2024-02-27 10:25:09,048.048 WARNING:   Worker: 1 | Completed snapshot: 5 | started at: 1709029509027.8777 | ended at: 1709029509046.9292 | took: 19.051513671875ms
coordinator_1  | 2024-02-27 10:25:09,048.048 WARNING:   Worker: 4 | Completed snapshot: 5 | started at: 1709029509028.029 | ended at: 1709029509046.9368 | took: 18.90771484375ms
coordinator_1  | 2024-02-27 10:25:09,048.048 WARNING:   Worker: 3 | Completed snapshot: 5 | started at: 1709029509027.8616 | ended at: 1709029509047.0269 | took: 19.165283203125ms
coordinator_1  | 2024-02-27 10:25:10,054.054 WARNING:   Worker: 1 | Completed snapshot: 6 | started at: 1709029510032.7974 | ended at: 1709029510053.0723 | took: 20.27490234375ms
