coordinator_1  | 2023-03-31T09:59:33.761235+00:00.761 WARNING:  Worker: 1 | Completed snapshot: 6 | started at: 1680256772001.3254 | ended at: 1680256773759.9294 | took: 1758.60400390625ms
coordinator_1  | 2023-03-31T09:59:33.768329+00:00.768 WARNING:  Worker: 2 | Completed snapshot: 6 | started at: 1680256772001.5496 | ended at: 1680256773767.3665 | took: 1765.81689453125ms
coordinator_1  | 2023-03-31T09:59:39.868195+00:00.868 WARNING:  Worker: 4 | Completed snapshot: 7 | started at: 1680256778160.6772 | ended at: 1680256779866.982 | took: 1706.3046875ms
coordinator_1  | 2023-03-31T09:59:39.934883+00:00.934 WARNING:  Worker: 3 | Completed snapshot: 7 | started at: 1680256778160.6409 | ended at: 1680256779907.0544 | took: 1746.41357421875ms
coordinator_1  | 2023-03-31T09:59:39.957547+00:00.957 WARNING:  Worker: 1 | Completed snapshot: 7 | started at: 1680256778160.6172 | ended at: 1680256779956.0671 | took: 1795.449951171875ms
coordinator_1  | 2023-03-31T09:59:39.962560+00:00.962 WARNING:  Worker: 2 | Completed snapshot: 7 | started at: 1680256778160.7825 | ended at: 1680256779961.3955 | took: 1800.613037109375ms
coordinator_1  | 2023-03-31T09:59:45.113211+00:00.113 WARNING:  Worker: 3 | Completed snapshot: 8 | started at: 1680256783193.9546 | ended at: 1680256785112.0964 | took: 1918.141845703125ms
coordinator_1  | 2023-03-31T09:59:45.135491+00:00.135 WARNING:  Worker: 1 | Completed snapshot: 8 | started at: 1680256783193.9373 | ended at: 1680256785117.4697 | took: 1923.532470703125ms
coordinator_1  | 2023-03-31T09:59:45.180696+00:00.180 WARNING:  Worker: 2 | Completed snapshot: 8 | started at: 1680256783193.8506 | ended at: 1680256785179.4453 | took: 1985.5947265625ms
coordinator_1  | 2023-03-31T09:59:45.276229+00:00.276 WARNING:  Worker: 4 | Completed snapshot: 8 | started at: 1680256783193.9492 | ended at: 1680256785275.2231 | took: 2081.27392578125ms
coordinator_1  | 2023-03-31T09:59:49.304878+00:00.304 WARNING:  Worker: 3 | Completed snapshot: 9 | started at: 1680256787926.655 | ended at: 1680256789303.5154 | took: 1376.8603515625ms
coordinator_1  | 2023-03-31T09:59:49.316551+00:00.316 WARNING:  Worker: 1 | Completed snapshot: 9 | started at: 1680256787926.6843 | ended at: 1680256789315.001 | took: 1388.316650390625ms
coordinator_1  | 2023-03-31T09:59:49.322946+00:00.322 WARNING:  Worker: 4 | Completed snapshot: 9 | started at: 1680256787926.775 | ended at: 1680256789321.894 | took: 1395.119140625ms
coordinator_1  | 2023-03-31T09:59:49.323734+00:00.323 WARNING:  Worker: 2 | Completed snapshot: 9 | started at: 1680256787926.687 | ended at: 1680256789322.687 | took: 1396.0ms
coordinator_1  | 2023-03-31T10:00:42.414437+00:00.414 WARNING:  Worker: 2 | Completed snapshot: 10 | started at: 1680256840088.9343 | ended at: 1680256842398.3152 | took: 2309.380859375ms
coordinator_1  | 2023-03-31T10:00:42.487572+00:00.487 WARNING:  Worker: 1 | Completed snapshot: 10 | started at: 1680256840088.9329 | ended at: 1680256842486.5432 | took: 2397.6103515625ms
coordinator_1  | 2023-03-31T10:00:42.605841+00:00.605 WARNING:  Worker: 4 | Completed snapshot: 10 | started at: 1680256840088.9172 | ended at: 1680256842604.9104 | took: 2515.9931640625ms
coordinator_1  | 2023-03-31T10:00:42.635206+00:00.635 WARNING:  Worker: 3 | Completed snapshot: 10 | started at: 1680256840088.8916 | ended at: 1680256842604.881 | took: 2515.989501953125ms
coordinator_1  | 2023-03-31T10:00:59.209161+00:00.209 WARNING:  Worker: 4 | Completed snapshot: 11 | started at: 1680256856818.7805 | ended at: 1680256859207.8396 | took: 2389.05908203125ms
coordinator_1  | 2023-03-31T10:00:59.292088+00:00.292 WARNING:  Worker: 2 | Completed snapshot: 11 | started at: 1680256856818.791 | ended at: 1680256859290.7727 | took: 2471.981689453125ms
coordinator_1  | 2023-03-31T10:00:59.461910+00:00.461 WARNING:  Worker: 1 | Completed snapshot: 11 | started at: 1680256856818.7761 | ended at: 1680256859460.3435 | took: 2641.5673828125ms
